video,config,selector,channel,bit_depth,psss_backend_kind,digital_step_policy,fixed_reference_snr_db,ablation_label,n_frames_total,n_transmitting_frames,n_keyframes_selected,n_nan_or_inf_frames,fixed_selector_kind,fixed_count_target,fixed_max_gop_used,keyframe_count_matched,matched_rate_mode,matched_rate_plan_exact,matched_rate_target_n_transmitting_frames,selected_psss_threshold,selected_psss_max_segment_length,nonfinite_stages,n_quality_frames,valid_frame_ratio,mean_psnr,mean_ssim,mean_lpips,latent_elements_total,analog_channel_symbols_total,source_packet_bits_total,digital_side_information_bytes_total,total_bundle_bytes,total_bundle_bytes_per_frame,analog_no_wire_bytes,visual_transport_complete,total_elapsed_s
02_car_pass,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,actual_transmissions,True,9,,,,100,1.0,24.02905418395996,0.8098268175125122,0.25453908801078795,294912,,28937344,,3617168,36171.68,False,True,124.374
02_car_pass,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,actual_transmissions,True,9,,,,100,1.0,24.02905294418335,0.8098269551992416,0.2545400270819664,294912,,24217152,,3027144,30271.44,False,True,132.362
02_car_pass,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,actual_transmissions,True,9,,,,100,1.0,23.968347969055177,0.8080339980125427,0.2531202486157417,294912,,20677408,,2584676,25846.76,False,True,131.196
02_car_pass,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,actual_transmissions,True,9,,,,100,1.0,24.02422508239746,0.8097420841455459,0.2545743814110756,294912,,21267232,,2658404,26584.04,False,True,133.506
02_car_pass,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,actual_transmissions,True,9,,,,100,1.0,24.02787509918213,0.8098405528068543,0.25445665046572685,294912,,21857056,,2732132,27321.32,False,True,135.414
02_car_pass,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,9,7,0,,,,,actual_transmissions,True,9,0.35,16,,100,1.0,24.02905418395996,0.8098268175125122,0.25453908801078795,294912,,28936544,,3617068,36170.68,False,True,119.261
02_car_pass,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,9,7,0,,,,,actual_transmissions,True,9,0.35,16,,100,1.0,24.02905294418335,0.8098269551992416,0.2545400270819664,294912,,24216352,,3027044,30270.44,False,True,123.77
02_car_pass,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,9,7,0,,,,,actual_transmissions,True,9,0.35,16,,100,1.0,23.968347969055177,0.8080339980125427,0.2531202486157417,294912,,20676608,,2584576,25845.76,False,True,135.574
02_car_pass,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,9,7,0,,,,,actual_transmissions,True,9,0.35,16,,100,1.0,24.02422508239746,0.8097420841455459,0.2545743814110756,294912,,21266432,,2658304,26583.04,False,True,135.261
02_car_pass,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,9,7,0,,,,,actual_transmissions,True,9,0.35,16,,100,1.0,24.02787509918213,0.8098405528068543,0.25445665046572685,294912,,21856256,,2732032,27320.32,False,True,124.137
03_dog_walk,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,23.992648200988768,0.7817488181591034,0.22727297767996787,229376,,22596640,,2824580,28245.8,False,True,87.165
03_dog_walk,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,23.99265745162964,0.781748623251915,0.22727212756872178,229376,,18925024,,2365628,23656.28,False,True,92.921
03_dog_walk,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,23.98821990966797,0.7798588043451309,0.22593866318464279,229376,,16171712,,2021464,20214.64,False,True,98.305
03_dog_walk,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,23.98722063064575,0.7815930324792862,0.22724007546901703,229376,,16630464,,2078808,20788.08,False,True,98.926
03_dog_walk,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,23.992633819580078,0.781744493842125,0.22732339546084404,229376,,17089216,,2136152,21361.52,False,True,97.078
03_dog_walk,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,23.992648200988768,0.7817488181591034,0.22727297767996787,229376,,22595840,,2824480,28244.8,False,True,91.648
03_dog_walk,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,23.99265745162964,0.781748623251915,0.22727212756872178,229376,,18924224,,2365528,23655.28,False,True,88.626
03_dog_walk,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,23.98821990966797,0.7798588043451309,0.22593866318464279,229376,,16170912,,2021364,20213.64,False,True,89.304
03_dog_walk,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,23.98722063064575,0.7815930324792862,0.22724007546901703,229376,,16629664,,2078708,20787.08,False,True,83.984
03_dog_walk,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,23.992633819580078,0.781744493842125,0.22732339546084404,229376,,17088416,,2136052,21360.52,False,True,91.28
04_person_car,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.970386123657228,0.5992626085877418,0.22189802989363672,229376,,22575424,,2821928,28219.28,False,True,90.407
04_person_car,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.970388298034667,0.5992623209953308,0.22189940445125103,229376,,18903808,,2362976,23629.76,False,True,97.441
04_person_car,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.918617038726808,0.5970935890078545,0.22278067357838155,229376,,16150496,,2018812,20188.12,False,True,100.198
04_person_car,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.968113117218017,0.5991876539587975,0.2218787294626236,229376,,16609248,,2076156,20761.56,False,True,96.338
04_person_car,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.97025457382202,0.5992415842413902,0.22192834503948689,229376,,17068000,,2133500,21335.0,False,True,96.427
04_person_car,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.970386123657228,0.5992626085877418,0.22189802989363672,229376,,22574624,,2821828,28218.28,False,True,98.137
04_person_car,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.970388298034667,0.5992623209953308,0.22189940445125103,229376,,18903008,,2362876,23628.76,False,True,99.688
04_person_car,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.918617038726808,0.5970935890078545,0.22278067357838155,229376,,16149696,,2018712,20187.12,False,True,100.238
04_person_car,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.968113117218017,0.5991876539587975,0.2218787294626236,229376,,16608448,,2076056,20760.56,False,True,95.96
04_person_car,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.97025457382202,0.5992415842413902,0.22192834503948689,229376,,17067200,,2133400,21334.0,False,True,96.675
05_camera_pan_person,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,17.691503171920775,0.39551493763923645,0.3906189275532961,229376,,22607456,,2825932,28259.32,False,True,109.511
05_camera_pan_person,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,17.691505327224732,0.3955149006843567,0.3906190495938063,229376,,18935840,,2366980,23669.8,False,True,109.272
05_camera_pan_person,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,17.665012817382813,0.3938009029626846,0.3905518802255392,229376,,16182528,,2022816,20228.16,False,True,109.798
05_camera_pan_person,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,17.6890842628479,0.39539106786251066,0.3906981287151575,229376,,16641280,,2080160,20801.6,False,True,111.786
05_camera_pan_person,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,17.691512241363526,0.39551750391721724,0.3906005484610796,229376,,17100032,,2137504,21375.04,False,True,108.604
05_camera_pan_person,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,17.691503171920775,0.39551493763923645,0.3906189275532961,229376,,22606656,,2825832,28258.32,False,True,111.999
05_camera_pan_person,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,17.691505327224732,0.3955149006843567,0.3906190495938063,229376,,18935040,,2366880,23668.8,False,True,111.569
05_camera_pan_person,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,17.665012817382813,0.3938009029626846,0.3905518802255392,229376,,16181728,,2022716,20227.16,False,True,96.633
05_camera_pan_person,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,17.6890842628479,0.39539106786251066,0.3906981287151575,229376,,16640480,,2080060,20800.6,False,True,113.402
05_camera_pan_person,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,17.691512241363526,0.39551750391721724,0.3906005484610796,229376,,17099232,,2137404,21374.04,False,True,111.25
06_handheld_sign,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.01501935005188,0.6260925507545472,0.36123286284506323,229376,,22709792,,2838724,28387.24,False,True,93.719
06_handheld_sign,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.015033950805662,0.6260925966501236,0.36123063050210474,229376,,19038176,,2379772,23797.72,False,True,100.615
06_handheld_sign,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.026023511886596,0.6243998825550079,0.3594569467008114,229376,,16284864,,2035608,20356.08,False,True,101.75
06_handheld_sign,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.013543672561646,0.626006343960762,0.36136436522006987,229376,,16743616,,2092952,20929.52,False,True,101.257
06_handheld_sign,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.014400272369386,0.6260897648334504,0.3612652026116848,229376,,17202368,,2150296,21502.96,False,True,100.767
06_handheld_sign,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.01501935005188,0.6260925507545472,0.36123286284506323,229376,,22708992,,2838624,28386.24,False,True,98.728
06_handheld_sign,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.015033950805662,0.6260925966501236,0.36123063050210474,229376,,19037376,,2379672,23796.72,False,True,99.488
06_handheld_sign,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.026023511886596,0.6243998825550079,0.3594569467008114,229376,,16284064,,2035508,20355.08,False,True,98.725
06_handheld_sign,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.013543672561646,0.626006343960762,0.36136436522006987,229376,,16742816,,2092852,20928.52,False,True,102.315
06_handheld_sign,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.014400272369386,0.6260897648334504,0.3612652026116848,229376,,17201568,,2150196,21501.96,False,True,101.97
07_person_enter,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,actual_transmissions,True,18,,,,100,1.0,25.837966785430908,0.8404424709081649,0.20940335147082806,589824,,57454152,,7181769,71817.69,False,True,246.435
07_person_enter,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,actual_transmissions,True,18,,,,100,1.0,25.837951183319092,0.8404426634311676,0.2094041258096695,589824,,48015368,,6001921,60019.21,False,True,246.717
07_person_enter,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,actual_transmissions,True,18,,,,100,1.0,25.75453876495361,0.8376908522844314,0.2102054389566183,589824,,40936680,,5117085,51170.85,False,True,251.161
07_person_enter,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,actual_transmissions,True,18,,,,100,1.0,25.832503776550293,0.8402720624208451,0.20910908363759517,589824,,42116328,,5264541,52645.41,False,True,251.518
07_person_enter,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,actual_transmissions,True,18,,,,100,1.0,25.836900024414064,0.8404329681396484,0.20941047295928,589824,,43295976,,5411997,54119.97,False,True,244.995
07_person_enter,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,18,7,0,,,,,actual_transmissions,True,18,0.35,16,,100,1.0,25.837966785430908,0.8404424709081649,0.20940335147082806,589824,,57453352,,7181669,71816.69,False,True,228.789
07_person_enter,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,18,7,0,,,,,actual_transmissions,True,18,0.35,16,,100,1.0,25.837951183319092,0.8404426634311676,0.2094041258096695,589824,,48014568,,6001821,60018.21,False,True,166.514
07_person_enter,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,18,7,0,,,,,actual_transmissions,True,18,0.35,16,,100,1.0,25.75453876495361,0.8376908522844314,0.2102054389566183,589824,,40935880,,5116985,51169.85,False,True,140.126
07_person_enter,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,18,7,0,,,,,actual_transmissions,True,18,0.35,16,,100,1.0,25.832503776550293,0.8402720624208451,0.20910908363759517,589824,,42115528,,5264441,52644.41,False,True,139.024
07_person_enter,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,18,7,0,,,,,actual_transmissions,True,18,0.35,16,,100,1.0,25.836900024414064,0.8404329681396484,0.20941047295928,589824,,43295176,,5411897,54118.97,False,True,138.733
08_car_exit,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,26.058840923309326,0.8274960207939148,0.19066470839083194,229376,,22801152,,2850144,28501.44,False,True,104.269
08_car_exit,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,26.058878784179687,0.8274961566925049,0.19066287323832512,229376,,19129536,,2391192,23911.92,False,True,97.993
08_car_exit,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,26.00700143814087,0.8256435781717301,0.19018131420016288,229376,,16376224,,2047028,20470.28,False,True,100.05
08_car_exit,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,26.054555816650392,0.8273736959695817,0.19059266313910483,229376,,16834976,,2104372,21043.72,False,True,105.052
08_car_exit,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,26.05875581741333,0.8275104153156281,0.1906714065372944,229376,,17293728,,2161716,21617.16,False,True,100.572
08_car_exit,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,26.058840923309326,0.8274960207939148,0.19066470839083194,229376,,22800352,,2850044,28500.44,False,True,108.739
08_car_exit,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,26.058878784179687,0.8274961566925049,0.19066287323832512,229376,,19128736,,2391092,23910.92,False,True,97.538
08_car_exit,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,26.00700143814087,0.8256435781717301,0.19018131420016288,229376,,16375424,,2046928,20469.28,False,True,67.862
08_car_exit,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,26.054555816650392,0.8273736959695817,0.19059266313910483,229376,,16834176,,2104272,21042.72,False,True,89.889
08_car_exit,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,26.05875581741333,0.8275104153156281,0.1906714065372944,229376,,17292928,,2161616,21616.16,False,True,107.46
09_scene_cut_chair_car,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,33.75109651565552,0.9347155874967575,0.1397500976920128,229376,,22658784,,2832348,28323.48,False,True,89.974
09_scene_cut_chair_car,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,33.75103242874145,0.9347155213356018,0.13975017800927161,229376,,18987168,,2373396,23733.96,False,True,106.319
09_scene_cut_chair_car,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,33.54093021392822,0.9326951843500138,0.13816843971610068,229376,,16233856,,2029232,20292.32,False,True,98.531
09_scene_cut_chair_car,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,33.75832878112793,0.9346646595001221,0.13942459024488926,229376,,16692608,,2086576,20865.76,False,True,110.27
09_scene_cut_chair_car,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,33.748027305603024,0.9347122812271118,0.13963302560150623,229376,,17151360,,2143920,21439.2,False,True,96.491
09_scene_cut_chair_car,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,-0.65,16,,100,1.0,33.75109651565552,0.9347155874967575,0.1397500976920128,229376,,22657984,,2832248,28322.48,False,True,104.095
09_scene_cut_chair_car,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,-0.65,16,,100,1.0,33.75103242874145,0.9347155213356018,0.13975017800927161,229376,,18986368,,2373296,23732.96,False,True,95.077
09_scene_cut_chair_car,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,-0.65,16,,100,1.0,33.54093021392822,0.9326951843500138,0.13816843971610068,229376,,16233056,,2029132,20291.32,False,True,92.764
09_scene_cut_chair_car,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,-0.65,16,,100,1.0,33.75832878112793,0.9346646595001221,0.13942459024488926,229376,,16691808,,2086476,20864.76,False,True,96.342
09_scene_cut_chair_car,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,-0.65,16,,100,1.0,33.748027305603024,0.9347122812271118,0.13963302560150623,229376,,17150560,,2143820,21438.2,False,True,99.601
10_busy_sidewalk,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.211125125885008,0.7658115911483765,0.25070097953081133,229376,,22788672,,2848584,28485.84,False,True,53.87
10_busy_sidewalk,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.211147441864014,0.7658119636774063,0.2507005126029253,229376,,19117056,,2389632,23896.32,False,True,53.271
10_busy_sidewalk,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.165673351287843,0.7632377576828003,0.2516565054655075,229376,,16363744,,2045468,20454.68,False,True,53.773
10_busy_sidewalk,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.207880115509035,0.7656702744960785,0.2507504852116108,229376,,16822496,,2102812,21028.12,False,True,54.532
10_busy_sidewalk,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,21.210761070251465,0.7657943296432496,0.25073219045996664,229376,,17281248,,2160156,21601.56,False,True,53.329
10_busy_sidewalk,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.211125125885008,0.7658115911483765,0.25070097953081133,229376,,22787872,,2848484,28484.84,False,True,54.459
10_busy_sidewalk,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.211147441864014,0.7658119636774063,0.2507005126029253,229376,,19116256,,2389532,23895.32,False,True,54.168
10_busy_sidewalk,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.165673351287843,0.7632377576828003,0.2516565054655075,229376,,16362944,,2045368,20453.68,False,True,53.131
10_busy_sidewalk,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.207880115509035,0.7656702744960785,0.2507504852116108,229376,,16821696,,2102712,21027.12,False,True,54.456
10_busy_sidewalk,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,21.210761070251465,0.7657943296432496,0.25073219045996664,229376,,17280448,,2160056,21600.56,False,True,54.775
