video,config,selector,channel,bit_depth,psss_backend_kind,digital_step_policy,fixed_reference_snr_db,ablation_label,n_frames_total,n_transmitting_frames,n_keyframes_selected,n_nan_or_inf_frames,fixed_selector_kind,fixed_count_target,fixed_max_gop_used,keyframe_count_matched,nonfinite_stages,n_quality_frames,valid_frame_ratio,mean_psnr,mean_ssim,mean_lpips,latent_elements_total,analog_channel_symbols_total,source_packet_bits_total,digital_side_information_bytes_total,total_bundle_bytes,total_bundle_bytes_per_frame,analog_no_wire_bytes,visual_transport_complete,total_elapsed_s
07_person_enter,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,,100,1.0,25.837966785430908,0.8404424709081649,0.20940335147082806,589824,,57454152,,7181769,71817.69,False,True,245.49
07_person_enter,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,,100,1.0,25.837951183319092,0.8404426634311676,0.2094041258096695,589824,,48015368,,6001921,60019.21,False,True,253.702
07_person_enter,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,,100,1.0,25.75453876495361,0.8376908522844314,0.2102054389566183,589824,,40936680,,5117085,51170.85,False,True,141.659
07_person_enter,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,,100,1.0,25.832503776550293,0.8402720624208451,0.20910908363759517,589824,,42116328,,5264541,52645.41,False,True,140.161
07_person_enter,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,18,7,0,fixed_max_gop,,16,,,100,1.0,25.836900024414064,0.8404329681396484,0.20941047295928,589824,,43295976,,5411997,54119.97,False,True,221.017
08_car_exit,fixed_awgn,fixed,awgn,,,,,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,25.924232292175294,0.8222853720188141,0.19341142177581788,229376,229376,15413136,1926642,1926642,19266.42,True,False,87.726
08_car_exit,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,26.058840923309326,0.8274960207939148,0.19066470839083194,229376,,22801152,,2850144,28501.44,False,True,89.48
08_car_exit,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,26.058878784179687,0.8274961566925049,0.19066287323832512,229376,,19129536,,2391192,23911.92,False,True,99.016
08_car_exit,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,26.00700143814087,0.8256435781717301,0.19018131420016288,229376,,16376224,,2047028,20470.28,False,True,66.212
08_car_exit,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,26.054555816650392,0.8273736959695817,0.19059266313910483,229376,,16834976,,2104372,21043.72,False,True,96.698
08_car_exit,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,26.05875581741333,0.8275104153156281,0.1906714065372944,229376,,17293728,,2161716,21617.16,False,True,87.199
09_scene_cut_chair_car,fixed_awgn,fixed,awgn,,,,,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,33.19001396179199,0.9293485057353973,0.14096748262643813,229376,229376,15270768,1908846,1908846,19088.46,True,False,82.011
09_scene_cut_chair_car,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,33.75109651565552,0.9347155874967575,0.1397500976920128,229376,,22658784,,2832348,28323.48,False,True,97.705
09_scene_cut_chair_car,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,33.75103242874145,0.9347155213356018,0.13975017800927161,229376,,18987168,,2373396,23733.96,False,True,89.23
09_scene_cut_chair_car,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,33.54093021392822,0.9326951843500138,0.13816843971610068,229376,,16233856,,2029232,20292.32,False,True,96.353
09_scene_cut_chair_car,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,33.75832878112793,0.9346646595001221,0.13942459024488926,229376,,16692608,,2086576,20865.76,False,True,82.692
09_scene_cut_chair_car,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,33.748027305603024,0.9347122812271118,0.13963302560150623,229376,,17151360,,2143920,21439.2,False,True,98.02
10_busy_sidewalk,fixed_awgn,fixed,awgn,,,,,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.005078716278078,0.7554992067813874,0.2575275467336178,229376,229376,15400656,1925082,1925082,19250.82,True,False,52.2
10_busy_sidewalk,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.211125125885008,0.7658115911483765,0.25070097953081133,229376,,22788672,,2848584,28485.84,False,True,54.34
10_busy_sidewalk,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.211147441864014,0.7658119636774063,0.2507005126029253,229376,,19117056,,2389632,23896.32,False,True,53.856
10_busy_sidewalk,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.165673351287843,0.7632377576828003,0.2516565054655075,229376,,16363744,,2045468,20454.68,False,True,54.807
10_busy_sidewalk,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.207880115509035,0.7656702744960785,0.2507504852116108,229376,,16822496,,2102812,21028.12,False,True,54.572
10_busy_sidewalk,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.210761070251465,0.7657943296432496,0.25073219045996664,229376,,17281248,,2160156,21601.56,False,True,54.905
